Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6;imgBonus size-s imgBonus_2;2498
Titolare;Milenkovic;D;5.5;;1552
Titolare;De Silvestri;D;6.5;imgBonus size-s imgBonus_9;163
Riserva;Ceccherini;D;;;1181
Titolare;Rodriguez R.;D;6;;1504
Titolare;Svanberg;C;6;;1802
Titolare;Ilic;C;6.5;imgBonus size-s imgBonus_6;2326
Titolare;Lukic;C;6;;1298
Titolare;Insigne L.;A;7;imgBonus size-s imgBonus_3;251
Titolare;Rebic;A;5;;625
Titolare;Dzeko;A;7;imgBonus size-s imgBonus_1;759
Riserva;Skorupski;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;429
Titolare;Biraghi;D;6;;95
Riserva;Djimsiti;D;5.5;;1090
Riserva;Pasalic;C;;;1357
Riserva;Callejon;C;6;;121
Riserva;El Shaarawy;A;6;;190
Riserva;Ilicic;A;6;;249
