Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Skorupski;P;;;429
Titolare;Hernandez;D;4.5;imgBonus size-s imgBonus_4|imgBonus size-s imgBonus_7|imgBonus size-s imgBonus_9;2017
Titolare;Romagnoli A.;D;5.75;;404
Titolare;Di Lorenzo;D;6;;1822
Titolare;Strefezza;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2046
Riserva;Lovric;C;;;2762
Titolare;Colpani;C;5.75;;1881
Titolare;Locatelli;C;6.25;;1123
Titolare;Calhanoglu;C;6.25;;1507
Titolare;Abraham;A;4.5;imgBonus size-s imgBonus_4;2558
Titolare;Leao;A;6.5;;2089
Titolare;Falcone;P;6.5;imgBonus size-s imgBonus_2;1449
Titolare;Guendouzi;C;6.5;;3215
Riserva;Tchaouna;C;;;3207
Riserva;Beukema;D;6.25;;3056
Riserva;Vasquez;D;4.75;;2550
Riserva;Colombo;A;;;2309
Riserva;Noslin;A;;;3277
