Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;6.5;imgBonus size-s imgBonus_10;720
Titolare;Udogie;D;7;imgBonus size-s imgBonus_9;2337
Titolare;Lazaro;D;6;;2019
Titolare;Maehle;D;5.5;;2417
Titolare;Calabria;D;6;;668
Titolare;Pessina;C;6;;1508
Riserva;Bonaventura;C;;;101
Titolare;Milinkovic S.;C;5.5;;760
Titolare;Politano;C;6;;510
Titolare;Giroud;A;6.25;imgBonus size-s imgBonus_6;2500
Titolare;Zapata;A;6;;483
Riserva;Perin;P;;;369
Titolare;Mckennie;C;5.5;;2297
Riserva;Mkhitaryan;C;6.5;;2124
Riserva;Kim;D;6.25;imgBonus size-s imgBonus_6;2801
Riserva;Cambiaso;D;5.75;;2556
Riserva;Lykogiannis;D;5.75;;1699
Riserva;Augello;D;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2087
